"lostConnection/title","Rất tiếc!"
"adminOutletFilter/districtSelected","các quận được chọn"
"adminOutletFilter/cityPopupTitle","CHỌN MỘT THÀNH PHỐ"
"adminOutletFilter/districtPopupTitle","CHỌN QUẬN"
"adminOutletFilter/select","Chọn"
"adminOutletFilter/clear","Xóa hết"
"adminOutletFilter/apply","Áp dụng"
"adminOutletSort/title","SẮP XẾP THEO"
"adminOutletSort/createdDate","NGÀY TẠO"
"adminOutletSort/newest","Mới nhất"
"adminOutletSort/oldest","Cũ nhất"
"adminOutletSort/outletName","TÊN CỬA HÀNG"
"adminOutletSort/aZ","A đến Z"
"adminOutletSort/zA","Z đến A"
"adminOutletSort/clear","Xóa hết"
"adminOutletSort/apply","Áp dụng"
"adminOutletDetail/active","HOẠT ĐỘNG"
"adminOutletDetail/inactive","KHÔNG HOẠT ĐỘNG"
"adminOutletDetail/mobilePhoneNumber","Số điện thoại"
"adminOutletDetail/registeredUsername","Tên người dùng đã đăng ký"
"adminOutletDetail/menus","THỰC ĐƠN"
"adminOutletDetail/users","NGƯỜI DÙNG"
"adminOutletDetail/orders","ĐƠN HÀNG"
"adminOutletDetail/deactivate","Hủy kích hoạt"
"adminOutletDetail/activate","Kích hoạt"
"adminOutletDetail/deactivateTitlePopup","Hủy kích hoạt cửa hàng này?"
"adminOutletDetail/deactivateDescPopup","Bạn có chắc muốn hủy kích hoạt không?"
"adminOutletDetail/confirmDeactivate","Đồng ý hủy kích hoạt"
"adminOutletDetail/activateTitlePopup","Kích hoạt cửa hàng này?"
"adminOutletDetail/activateDescPopup","Bạn có chắc muốn kích hoạt không?"
"adminOutletDetail/confirmActivate","Đồng ý kích hoạt"
"adminOutletDetail/cancel","Hủy bỏ"
"defaultMenu/title","THỰC ĐƠN MẶC ĐỊNH"
"defaultMenu/product/rsp","RSP"
"adminSupport/title","HỖ TRỢ"
"adminSupport/selectDateRange","CHỌN PHẠM VI NGÀY"
"adminSupport/from","từ"
"adminSupport/to","đến"
"adminSupport/outlet","Cửa hàng"
"adminSupport/topic","Chủ đề"
"adminSupport/time","Thời gian"
"adminSupport/detailFeedback/title","Chi tiết hỗ trợ"
"adminSupport/detailFeedback/outletName","Tên cửa hàng"
"adminSupport/detailFeedback/userName","Tên người dùng"
"adminSupport/detailFeedback/mobileNumber","Số điện thoại"
"adminSupport/detailFeedback/relatedTopic","Chủ đề liên quan"
"adminSupport/detailFeedback/question","Câu hỏi"
"adminSupport/detailFeedback/sendSMS","Gửi SMS"
"adminSupport/detailFeedback/call","Gọi"
"adminSupport/detailFeedback/resolve","Giải quyết"
"adminSupport/detailFeedback/alreadyResolveText","Câu hỏi này đã được giải quyết thành công"
"hcsSideMenu/menus","Các thực đơn"
"hcsSideMenu/performance","Hiệu suất"
"hcsSideMenu/faqs","Câu hỏi thường gặp và trợ giúp"
"hcsSideMenu/language","Ngôn ngữ"
"hcsSideMenu/logout","Đăng xuất"
"hcsSideMenu/term","Điều khoản và điều kiện"
"hcsSideMenu/policy","Chính sách bảo mật"
"hcsHome/menus","CÁC THỰC ĐƠN"
"hcsHome/performance","HIỆU SUẤT"
"hcsOutletList/title","CÁC CỬA HÀNG VỚI THỰC ĐƠN"
"ocsSideMenu/menus","Các thực đơn"
"ocsSideMenu/performance","hiệu suất"
"ocsSideMenu/faqs","Câu hỏi thường gặp và trợ giúp"
"ocsSideMenu/language","Ngôn ngữ"
"ocsSideMenu/logout","Đăng xuất"
"ocsSideMenu/term","Điều khoản và điều kiện"
"ocsSideMenu/policy","Chính sách bảo mật"
"ocsHome/menus","CÁC THỰC ĐƠN"
"ocsHome/performance","HIỆU SUẤT"
